t_index	term	df
1407	barnstorm	1
1408	barot	1
1409	barov	1
1410	barr	2
1411	barrack	35
1412	barrag	2
1413	barrel	2
1414	barrera	2
1415	barri	1
1416	barricad	18
1417	barrier	12
1418	bartlett	1
1419	barua	5
1420	base	188
1421	basebal	5
1422	baselin	16
1423	basement	1
1424	basher	1
1425	bashraheel	1
1426	bashrahel	1
1427	basi	15
1428	basic	43
1429	basilica	1
1430	bask	2
1431	basket	3
1432	basketbal	1
1433	basset	1
1434	bassiouni	1
1435	bastion	6
1436	batch	1
1437	bath	4
1438	bathroom	3
1439	bathtub	1
1440	batic	2
1441	baton	4
1442	battalion	3
1443	batten	1
1444	batter	8
1445	batteri	2
1446	battl	78
1447	battlefield	4
1448	battleground	8
1449	bauman	6
1450	bautista	1
1451	bavaria	1
1452	bay	7
1453	bazaar	1
1454	bbc	29
1455	be	1
1456	beach	17
1457	beachfront	1
1458	bead	1
1459	beal	1
1460	beam	14
1461	bean	3
1462	bear	23
1463	beard	20
1464	bearer	2
1465	beat	79
1466	beaten	31
1467	beater	3
1468	beaumont	1
1469	beauti	6
1470	beaver	1
1471	becam	104
1472	becausec	1
1473	beci	2
1474	becker	1
1475	becom	115
1476	bed	35
1477	bedanova	2
1478	bedi	12
1479	bedouin	1
1480	bedroom	6
1481	bedsheet	1
1482	beef	6
1483	beer	2
1484	befit	1
1485	befriend	1
1486	befuddl	1
1487	beg	4
1488	began	156
1489	beggar	1
1490	begin	151
1491	begun	31
1492	behalf	8
1493	behan	1
1494	behari	3
1495	behav	9
1496	behavior	11
1497	behind	155
1498	beholden	3
1499	beij	3
1500	beirut	9
1501	bekki	3
1502	belaru	1
1503	belch	1
1504	beleagu	3
1505	belgian	5
1506	belgium	6
1507	belgrad	100
1508	beli	1
1509	belida	3
1510	belief	17
1511	believ	292
1512	belittl	1
1513	bell	4
1514	belliger	1
1515	belong	31
1516	belov	5
1517	belt	8
1518	bema	2
1519	bemoan	1
1520	ben	5
1521	bench	4
1522	benchmark	1
1523	bend	2
1524	beneath	31
1525	benefactor	2
1526	benefici	1
1527	beneficiari	1
1528	benefit	17
1529	benevol	7
1530	benign	1
1531	benin	8
1532	benito	1
1533	benjamin	2
1534	bennett	1
1535	benni	1
1536	bent	13
1537	benton	1
1538	bequeath	1
1539	berat	1
1540	bere	1
1541	beresich	1
1542	beretta	1
1543	bergen	1
1544	berger	25
1545	berlin	8
1546	bernstein	2
1547	bershard	1
1548	bershevski	1
1549	berth	2
1550	beschloss	1
1551	beset	2
1552	besid	27
1553	besieg	4
1554	bespectacl	2
1555	best	101
1556	bet	5
1557	beta	8
1558	beth	1
1559	betray	4
1560	betrisia	1
1561	better	119
1562	bevan	1
1563	beveneari	1
1564	bewild	1
1565	beyond	37
1566	bhaba	2
1567	bhachau	4
1568	bhagat	1
1569	bhakta	1
1570	bharatiya	3
1571	bharpi	3
1572	bhaskar	5
1573	bhat	1
1574	bhatt	1
1575	bhavesh	1
1576	bhowmik	1
1577	bhug	1
1578	bhuj	33
1579	bia	1
1580	biafran	2
1581	biarritz	3
1582	bias	8
1583	bibl	4
1584	biblic	1
1585	bicker	3
1586	bicycl	5
1587	bid	50
1588	bidanora	1
1589	big	76
1590	bigger	8
1591	biggest	39
1592	bigot	1
1593	bihari	10
1594	bilater	8
1595	bilingu	1
1596	bill	68
1597	billboard	2
1598	billet	1
1599	billi	4
1600	billion	59
1601	billionair	9
1602	billow	13
1603	biltera	1
1604	bimal	2
1605	bin	87
1606	bind	5
1607	bindra	3
1608	bingaman	2
1609	bingo	1
1610	binocular	5
1611	bio	1
1612	biogeneticist	1
1613	biograph	3
1614	biographi	4
1615	biolog	4
1616	bion	1
1617	bipartisan	2
1618	bipartisanship	1
1619	bird	3
1620	birger	1
1621	birth	9
1622	birthday	6
1623	birthmark	1
1624	birthplac	1
1625	biscuit	3
1626	bishop	2
1627	bit	46
1628	bite	2
1629	biter	1
1630	bitka	1
1631	bitten	1
1632	bitter	20
1633	bitterli	10
1634	bittersweet	2
1635	biw	1
1636	bizarr	10
1637	bjorn	1
1638	black	58
1639	blacken	4
1640	blackmail	5
1641	blackout	4
1642	blade	1
1643	blair	15
1644	blakemor	1
1645	blame	56
1646	blanchard	1
1647	blanco	7
1648	bland	1
1649	blanda	1
1650	blank	3
1651	blanket	35
1652	blankli	2
1653	blare	1
1654	blast	109
1655	blatant	2
1656	blaze	6
1657	bleach	1
1658	bleacher	1
1659	bleak	1
1660	bled	1
1661	bleed	2
1662	blemish	1
1663	blend	4
1664	bless	9
1665	blew	42
1666	blind	8
1667	blindli	5
1668	blink	3
1669	blister	2
1670	blitz	1
1671	blitzer	1
1672	blizzard	5
1673	bloat	4
1674	bloc	7
1675	block	83
1676	blockad	15
1677	blocker	1
1678	blocki	1
1679	blokosso	1
1680	blond	6
1681	blood	34
1682	bloodbath	2
1683	bloodi	8
1684	bloodiest	1
1685	bloodless	2
1686	bloodsh	9
1687	bloodstain	1
1688	bloomberg	1
1689	bloomer	1
1690	blous	1
1691	blow	25
1692	blown	11
1693	blowtorch	1
1694	blue	46
1695	blueprint	11
1696	bluf	5
1697	blunk	1
1698	blunt	2
1699	bluntli	2
1700	blur	2
1701	blurb	1
1702	blusteri	1
1703	blvd	1
1704	bnaibrith	1
1705	bo	5
1706	board	63
1707	boarder	5
1708	boardwalk	1
1709	boast	3
1710	boat	117
1711	boater	1
1712	boatmen	1
1713	bob	24
1714	bobbi	6
1715	bobic	1
1716	bodi	188
1717	bodien	1
1718	bodin	9
1719	bodon	1
1720	bodyguard	10
1721	boe	2
1722	bog	2
1723	boga	1
1724	bogg	1
1725	bogu	4
1726	bohdan	2
1727	boigni	6
1728	boil	1
1729	boister	1
1730	bojic	1
1731	bold	3
1732	boldli	1
1733	bolivia	1
1734	bolona	2
1735	bolster	12
1736	bolt	1
1737	bomb	259
1738	bombard	2
1739	bombay	5
1740	bomber	57
1741	bombet	2
1742	bombey	1
1743	bombmak	4
1744	bombshel	1
1745	bond	17
1746	bondjump	1
1747	bone	53
1748	bonecardi	1
1749	bonfir	3
1750	bonilla	1
1751	bonni	1
1752	bono	1
1753	bonu	1
1754	boo	3
1755	boobi	3
1756	book	26
1757	bookend	1
1758	boom	7
1759	boost	14
1760	booster	1
1761	boot	5
1762	booth	8
1763	bor	1
1764	border	53
1765	bore	3
1766	borg	1
1767	bori	7
1768	borisav	1
1769	borislav	3
1770	borisov	1
1771	borivoj	1
1772	bork	1
1773	borka	1
1774	born	47
1775	borneo	4
1776	borotra	1
1777	borrow	2
1778	borzon	1
